game_id,seed,score,max_tile,move_count,game_over,up_moves,down_moves,left_moves,right_moves,agent
0,84024,6456,512,443,true,122,105,106,110,heuristic
1,84025,3088,256,256,true,58,69,71,58,heuristic
2,84026,11200,1024,650,true,193,141,159,157,heuristic
3,84027,14392,1024,839,true,231,184,212,212,heuristic
4,84028,6576,512,456,true,127,104,123,102,heuristic
5,84029,9276,512,589,true,156,135,158,140,heuristic
6,84030,12144,1024,723,true,176,194,191,162,heuristic
7,84031,6520,512,447,true,112,107,136,92,heuristic
8,84032,10604,1024,619,true,146,164,148,161,heuristic
9,84033,14432,1024,836,true,218,199,221,198,heuristic
10,84034,6116,512,425,true,111,99,95,120,heuristic
11,84035,7504,512,512,true,133,132,135,112,heuristic
12,84036,3052,256,249,true,70,55,66,58,heuristic
13,84037,7352,512,506,true,134,121,139,112,heuristic
14,84038,10464,1024,612,true,147,162,161,142,heuristic
15,84039,12164,1024,720,true,211,162,174,173,heuristic
16,84040,11616,1024,682,true,184,161,188,149,heuristic
17,84041,3136,256,264,true,55,80,68,61,heuristic
18,84042,7116,512,490,true,115,127,129,119,heuristic
19,84043,7404,512,517,true,126,144,103,144,heuristic
20,84044,14688,1024,868,true,235,217,214,202,heuristic
21,84045,7176,512,494,true,135,126,105,128,heuristic
22,84046,6468,512,446,true,119,107,106,114,heuristic
23,84047,12108,1024,716,true,179,178,203,156,heuristic
24,84048,6396,512,436,true,103,115,134,84,heuristic
25,84049,3064,256,252,true,68,51,85,48,heuristic
26,84050,2760,256,225,true,66,49,58,52,heuristic
27,84051,14904,1024,869,true,236,187,199,247,heuristic
28,84052,6768,512,471,true,124,111,113,123,heuristic
29,84053,15940,1024,940,true,218,271,236,215,heuristic
30,84054,15152,1024,872,true,241,194,251,186,heuristic
31,84055,7072,512,483,true,106,141,95,141,heuristic
32,84056,10428,1024,615,true,147,164,171,133,heuristic
33,84057,6788,512,457,true,142,105,102,108,heuristic
34,84058,7256,512,498,true,138,110,110,140,heuristic
35,84059,10812,1024,645,true,180,157,151,157,heuristic
36,84060,11604,1024,673,true,194,126,193,160,heuristic
37,84061,16036,1024,937,true,263,212,235,227,heuristic
38,84062,3172,256,261,true,67,58,82,54,heuristic
39,84063,9916,1024,569,true,134,146,157,132,heuristic
40,84064,14712,1024,842,true,215,187,226,214,heuristic
41,84065,7360,512,508,true,137,116,117,138,heuristic
42,84066,7452,512,513,true,134,141,117,121,heuristic
43,84067,7644,512,531,true,135,115,134,147,heuristic
44,84068,12392,1024,745,true,198,174,194,179,heuristic
45,84069,12220,1024,731,true,177,189,166,199,heuristic
46,84070,6976,512,473,true,131,118,129,95,heuristic
47,84071,7112,512,479,true,136,98,125,120,heuristic
48,84072,5436,512,380,true,87,100,115,78,heuristic
49,84073,6544,512,453,true,123,103,113,114,heuristic
50,84074,12304,1024,747,true,219,157,188,183,heuristic
51,84075,7028,512,478,true,136,99,134,109,heuristic
52,84076,14640,1024,857,true,232,212,209,204,heuristic
53,84077,7108,512,489,true,125,110,137,117,heuristic
54,84078,3904,256,316,true,86,71,78,81,heuristic
55,84079,7304,512,499,true,133,117,128,121,heuristic
56,84080,7868,512,542,true,160,125,121,136,heuristic
57,84081,6100,512,429,true,111,109,117,92,heuristic
58,84082,14280,1024,830,true,200,215,216,199,heuristic
59,84083,12468,1024,756,true,170,201,193,192,heuristic
60,84084,11324,1024,652,true,169,165,185,133,heuristic
61,84085,5348,512,369,true,106,83,94,86,heuristic
62,84086,7576,512,534,true,143,129,130,132,heuristic
63,84087,12020,1024,703,true,171,157,200,175,heuristic
64,84088,11304,1024,648,true,140,175,183,150,heuristic
65,84089,12144,1024,713,true,197,155,170,191,heuristic
66,84090,7168,512,497,true,136,113,130,118,heuristic
67,84091,11344,1024,653,true,183,152,134,184,heuristic
68,84092,3368,256,282,true,62,81,66,73,heuristic
69,84093,3760,256,296,true,86,69,73,68,heuristic
70,84094,7240,512,505,true,107,138,132,128,heuristic
71,84095,6612,512,451,true,126,96,119,110,heuristic
72,84096,7140,512,489,true,131,113,142,103,heuristic
