game_id,seed,score,max_tile,move_count,game_over,up_moves,down_moves,left_moves,right_moves,agent
0,84024,812,64,100,true,27,27,22,24,random
1,84025,256,32,49,true,15,15,10,9,random
2,84026,2176,256,176,true,37,43,44,52,random
3,84027,568,64,78,true,20,21,17,20,random
4,84028,696,64,91,true,18,20,26,27,random
5,84029,676,64,87,true,18,20,23,26,random
6,84030,704,64,94,true,20,25,25,24,random
7,84031,2456,256,206,true,50,50,56,50,random
8,84032,916,128,100,true,29,22,28,21,random
9,84033,1200,128,129,true,29,32,34,34,random
10,84034,2228,256,180,true,48,46,39,47,random
11,84035,648,64,91,true,24,23,19,25,random
12,84036,1076,128,115,true,33,24,32,26,random
13,84037,436,32,68,true,17,16,18,17,random
14,84038,1012,128,108,true,28,22,28,30,random
15,84039,1268,128,131,true,35,34,32,30,random
16,84040,752,64,101,true,30,16,28,27,random
17,84041,668,64,90,true,22,17,31,20,random
18,84042,1344,128,142,true,37,37,37,31,random
19,84043,344,32,64,true,16,14,14,20,random
20,84044,2412,256,205,true,49,58,49,49,random
21,84045,712,64,93,true,31,29,20,13,random
22,84046,620,64,85,true,18,14,27,26,random
23,84047,628,64,87,true,24,20,28,15,random
24,84048,1272,128,129,true,30,40,35,24,random
25,84049,1516,128,153,true,43,35,36,39,random
26,84050,1240,128,129,true,29,38,31,31,random
27,84051,628,64,86,true,23,18,22,23,random
28,84052,284,32,54,true,18,7,17,12,random
29,84053,292,32,53,true,17,8,16,12,random
30,84054,1316,128,135,true,34,35,30,36,random
31,84055,760,64,100,true,29,25,19,27,random
32,84056,640,64,83,true,18,22,21,22,random
33,84057,872,64,108,true,28,30,24,26,random
34,84058,580,64,80,true,20,19,21,20,random
35,84059,760,64,99,true,30,18,29,22,random
36,84060,604,64,85,true,17,23,24,21,random
37,84061,1468,128,152,true,38,36,37,41,random
38,84062,588,64,81,true,22,25,16,18,random
39,84063,512,64,71,true,16,17,19,19,random
40,84064,1244,128,129,true,40,28,28,33,random
41,84065,716,64,94,true,25,26,19,24,random
42,84066,1428,128,147,true,38,34,38,37,random
43,84067,1152,128,125,true,32,26,41,26,random
44,84068,660,64,87,true,21,25,20,21,random
45,84069,1344,128,140,true,42,29,33,36,random
46,84070,664,64,89,true,22,20,21,26,random
47,84071,672,64,89,true,19,20,28,22,random
48,84072,684,64,90,true,18,26,25,21,random
49,84073,716,64,96,true,26,22,24,24,random
50,84074,2352,256,195,true,53,52,48,42,random
51,84075,1108,128,119,true,30,38,22,29,random
52,84076,1376,128,145,true,29,44,38,34,random
53,84077,1208,128,125,true,27,36,25,37,random
54,84078,1232,128,121,true,27,33,33,28,random
55,84079,1080,128,119,true,31,28,29,31,random
56,84080,680,64,89,true,19,18,22,30,random
57,84081,1480,128,156,true,41,42,37,36,random
58,84082,1332,128,136,true,34,36,28,38,random
59,84083,244,32,49,true,8,9,14,18,random
60,84084,556,64,75,true,23,15,16,21,random
61,84085,1308,128,133,true,29,36,34,34,random
62,84086,2096,256,174,true,43,44,43,44,random
63,84087,1024,128,111,true,24,28,28,31,random
64,84088,956,64,114,true,28,31,25,30,random
