game_id,seed,score,max_tile,move_count,game_over,up_moves,down_moves,left_moves,right_moves,model
0,84024,380,32,63,true,7,6,20,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
1,84025,1260,128,136,true,50,28,16,42,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
2,84026,308,32,56,true,10,13,12,21,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
3,84027,632,64,86,true,14,12,22,38,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
4,84028,756,64,99,true,26,11,27,35,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
5,84029,320,32,59,true,5,8,20,26,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
6,84030,1260,128,127,true,41,23,23,40,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
7,84031,952,64,113,true,37,16,20,40,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
8,84032,640,64,89,true,25,13,22,29,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
9,84033,356,32,58,true,8,8,17,25,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
10,84034,680,64,88,true,16,17,21,34,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
11,84035,2304,256,190,true,57,31,40,62,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
12,84036,860,64,105,true,25,14,30,36,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
13,84037,752,64,98,true,34,14,24,26,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
14,84038,1068,128,113,true,39,23,21,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
15,84039,360,32,60,true,11,6,14,29,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
16,84040,1128,128,120,true,30,22,31,37,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
17,84041,620,64,86,true,21,10,25,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
18,84042,1132,128,124,true,40,28,21,35,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
19,84043,740,32,108,true,43,13,22,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
20,84044,1096,128,119,true,38,18,26,37,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
21,84045,740,64,92,true,14,13,22,43,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
22,84046,596,64,86,true,33,17,18,18,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
23,84047,580,64,77,true,20,17,18,22,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
24,84048,820,64,106,true,23,17,29,37,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
25,84049,1208,128,125,true,31,22,28,44,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
26,84050,1132,128,112,true,25,22,22,43,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
27,84051,728,64,89,true,17,13,18,41,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
28,84052,752,64,102,true,29,16,25,32,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
29,84053,708,64,95,true,35,16,21,23,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
30,84054,1488,128,150,true,46,23,21,60,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
31,84055,572,64,80,true,14,9,30,27,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
32,84056,900,64,105,true,23,20,24,38,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
33,84057,624,64,86,true,32,9,21,24,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
34,84058,292,32,55,true,9,4,22,20,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
35,84059,1476,128,151,true,36,19,26,70,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
36,84060,1032,128,112,true,28,18,30,36,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
37,84061,1304,128,135,true,45,26,28,36,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
38,84062,664,64,88,true,28,23,15,22,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
39,84063,144,16,37,true,1,4,13,19,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
40,84064,1636,128,165,true,53,31,37,44,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
41,84065,468,64,67,true,15,8,11,33,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
42,84066,936,64,108,true,30,19,28,31,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
43,84067,536,64,73,true,11,9,23,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
44,84068,612,64,83,true,24,15,25,19,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
45,84069,568,64,77,true,14,13,24,26,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
46,84070,1416,128,150,true,44,29,29,48,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
47,84071,1280,128,133,true,45,24,25,39,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
48,84072,192,32,41,true,3,4,16,18,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
49,84073,664,64,92,true,17,13,24,38,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
50,84074,1256,128,128,true,33,20,34,41,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
51,84075,312,32,56,true,9,7,19,21,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
52,84076,596,64,83,true,13,10,25,35,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
53,84077,324,32,60,true,14,9,17,20,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
54,84078,800,64,102,true,23,14,25,40,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
55,84079,448,64,65,true,10,8,17,30,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
56,84080,736,64,98,true,28,15,26,29,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
57,84081,268,32,51,true,7,3,22,19,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
58,84082,1448,128,155,true,55,31,25,44,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
59,84083,352,32,62,true,19,11,18,14,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
60,84084,1340,128,139,true,30,20,32,57,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
61,84085,696,64,98,true,30,12,22,34,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
62,84086,668,64,93,true,19,11,27,36,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
63,84087,896,64,110,true,17,13,30,50,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
64,84088,436,64,62,true,7,6,20,29,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
65,84089,592,64,86,true,23,19,20,24,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
66,84090,1416,128,146,true,41,22,30,53,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
67,84091,1316,128,134,true,35,24,27,48,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
68,84092,992,128,103,true,27,20,23,33,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
69,84093,1016,128,109,true,34,20,24,31,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
70,84094,1424,128,146,true,51,31,22,42,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
71,84095,968,64,116,true,30,20,28,38,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
72,84096,1344,128,137,true,38,24,32,43,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
