game_id,seed,score,max_tile,move_count,game_over,model
0,91927,760,64,101,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
1,91928,592,64,82,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
2,91929,1372,128,144,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
3,91930,328,32,61,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
4,91931,668,64,86,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
5,91932,464,64,66,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
6,91933,508,32,80,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
7,91934,736,64,97,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
8,91935,548,64,80,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
9,91936,1220,128,127,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
10,91937,1468,128,153,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
11,91938,1160,128,123,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
12,91939,856,64,101,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
13,91940,1084,128,113,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
14,91941,1108,128,119,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
15,91942,1632,128,152,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
16,91943,664,64,85,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
17,91944,212,32,45,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
18,91945,1936,128,179,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
19,91946,732,64,100,true,reports/collection_pilots/2026-09-27-20-game/random_forest.policy.json
