row_index,game_id,move_index,score
0,0,0,0
1,0,1,0
2,0,2,4
3,0,3,4
4,0,4,4
5,0,5,8
6,0,6,20
7,0,7,20
8,0,8,24
9,0,9,28
10,0,10,28
11,0,11,28
12,0,12,36
13,0,13,36
14,0,14,60
15,0,15,68
16,0,16,68
17,0,17,72
18,0,18,72
19,0,19,72
20,0,20,76
21,0,21,84
22,0,22,100
23,0,23,104
24,0,24,104
25,0,25,108
26,0,26,108
27,0,27,120
28,0,28,128
29,0,29,148
30,0,30,180
31,0,31,180
32,0,32,184
33,0,33,184
34,0,34,184
35,0,35,200
36,0,36,212
37,0,37,212
38,0,38,212
39,0,39,212
40,0,40,216
41,0,41,240
42,0,42,240
43,0,43,244
44,0,44,244
45,0,45,252
46,0,46,252
47,0,47,268
48,0,48,272
49,0,49,288
50,0,50,332
51,0,51,332
52,0,52,340
53,0,53,404
54,0,54,404
55,0,55,404
56,0,56,404
57,0,57,404
58,0,58,412
59,0,59,416
60,0,60,428
61,0,61,444
62,0,62,464
63,0,63,464
64,0,64,464
65,0,65,464
66,0,66,468
67,0,67,476
68,0,68,492
69,0,69,524
70,0,70,524
71,0,71,524
72,0,72,540
73,0,73,556
74,0,74,556
75,0,75,560
76,0,76,560
77,0,77,572
78,0,78,580
79,0,79,596
80,0,80,600
81,0,81,612
82,0,82,612
83,0,83,616
84,0,84,616
85,0,85,620
86,0,86,620
87,0,87,632
88,0,88,648
89,0,89,680
90,0,90,748
91,0,91,748
92,0,92,752
93,0,93,752
94,0,94,756
95,0,95,904
96,0,96,904
97,0,97,932
98,0,98,932
99,0,99,940
100,0,100,976
101,0,101,976
102,0,102,976
103,0,103,988
104,0,104,1004
105,0,105,1044
106,0,106,1044
107,0,107,1048
108,0,108,1112
109,0,109,1112
110,0,110,1120
111,0,111,1124
112,0,112,1124
113,0,113,1124
114,0,114,1128
115,0,115,1136
116,0,116,1140
117,0,117,1144
118,0,118,1148
119,0,119,1152
120,0,120,1160
121,0,121,1176
122,0,122,1180
123,0,123,1184
124,0,124,1192
125,0,125,1204
126,0,126,1236
127,0,127,1236
128,0,128,1240
129,0,129,1276
130,0,130,1284
131,0,131,1284
132,0,132,1292
133,0,133,1308
134,0,134,1312
135,0,135,1316
136,0,136,1324
137,0,137,1332
138,0,138,1348
139,0,139,1380
140,0,140,1448
141,0,141,1584
142,0,142,1844
143,0,143,1844
144,0,144,1848
145,0,145,1856
146,0,146,1864
147,0,147,1864
148,0,148,1864
149,0,149,1868
150,0,150,1868
151,0,151,1892
152,0,152,1900
153,0,153,1920
154,0,154,1924
155,0,155,1932
156,0,156,1936
157,0,157,1936
158,0,158,1936
159,0,159,1976
160,0,160,1980
161,0,161,1988
162,0,162,1992
163,0,163,1996
164,0,164,2012
165,0,165,2012
166,0,166,2016
167,0,167,2020
168,0,168,2032
169,0,169,2048
170,0,170,2048
171,0,171,2092
172,0,172,2156
173,0,173,2156
174,0,174,2160
175,0,175,2164
176,0,176,2164
177,0,177,2176
178,0,178,2180
179,0,179,2188
180,0,180,2188
181,0,181,2192
182,0,182,2208
183,0,183,2232
184,0,184,2248
185,0,185,2252
186,0,186,2256
187,0,187,2256
188,0,188,2260
189,0,189,2268
190,0,190,2268
191,0,191,2272
192,0,192,2280
193,0,193,2300
194,0,194,2332
195,0,195,2336
196,0,196,2336
197,0,197,2348
198,0,198,2356
199,0,199,2360
200,0,200,2360
201,0,201,2364
202,0,202,2372
203,0,203,2388
204,0,204,2392
205,0,205,2400
206,0,206,2408
207,1,0,0
208,1,1,0
209,1,2,0
210,1,3,4
211,1,4,4
212,1,5,4
213,1,6,8
214,1,7,8
215,1,8,8
216,1,9,28
217,1,10,36
218,1,11,52
219,1,12,56
220,1,13,56
221,1,14,60
222,1,15,60
223,1,16,64
224,1,17,64
225,1,18,64
226,1,19,80
227,1,20,88
228,1,21,88
229,1,22,92
230,1,23,92
231,1,24,92
232,1,25,92
233,1,26,92
234,1,27,104
235,1,28,104
236,1,29,124
237,1,30,124
238,1,31,148
239,1,32,156
240,1,33,156
241,1,34,156
242,1,35,188
243,1,36,188
244,1,37,200
245,1,38,208
246,1,39,244
247,1,40,248
248,1,41,264
249,1,42,264
250,1,43,272
251,1,44,276
252,1,45,320
253,1,46,392
254,1,47,392
255,1,48,396
256,1,49,396
257,1,50,404
258,1,51,420
259,1,52,420
260,1,53,424
261,1,54,428
262,1,55,436
263,1,56,464
264,1,57,464
265,1,58,464
266,1,59,484
267,1,60,488
268,1,61,488
269,1,62,488
270,1,63,492
271,1,64,500
272,1,65,504
273,1,66,504
274,1,67,536
275,1,68,536
276,1,69,540
277,1,70,540
278,1,71,540
279,1,72,540
280,1,73,544
281,1,74,556
282,1,75,556
283,1,76,568
284,1,77,568
285,2,0,0
286,2,1,0
287,2,2,0
288,2,3,4
289,2,4,8
290,2,5,16
291,2,6,20
292,2,7,28
293,2,8,28
294,2,9,44
295,2,10,44
296,2,11,48
297,2,12,60
298,2,13,60
299,2,14,64
300,2,15,76
301,2,16,76
302,2,17,80
303,2,18,80
304,2,19,80
305,2,20,80
306,2,21,84
307,2,22,96
308,2,23,112
309,2,24,116
310,2,25,116
311,2,26,152
312,2,27,160
313,2,28,160
314,2,29,160
315,2,30,160
316,2,31,164
317,2,32,164
318,2,33,164
319,2,34,168
320,2,35,176
321,2,36,184
322,2,37,208
323,2,38,228
324,2,39,228
325,2,40,228
326,2,41,232
327,2,42,232
328,2,43,232
329,2,44,232
330,2,45,244
331,2,46,252
332,2,47,252
333,2,48,292
334,2,49,292
335,2,50,304
336,2,51,388
337,2,52,420
338,2,53,420
339,2,54,428
340,2,55,432
341,2,56,432
342,2,57,432
343,2,58,440
344,2,59,440
345,2,60,444
346,2,61,448
347,2,62,452
348,2,63,460
349,2,64,460
350,2,65,460
351,2,66,460
352,2,67,464
353,2,68,472
354,2,69,476
355,2,70,484
356,2,71,508
357,2,72,516
358,2,73,572
359,2,74,604
360,2,75,608
361,2,76,608
362,2,77,700
363,2,78,700
364,2,79,828
365,2,80,828
366,2,81,840
367,2,82,840
368,2,83,860
369,2,84,868
370,2,85,868
371,2,86,872
372,2,87,880
373,2,88,880
374,2,89,880
375,2,90,880
376,2,91,884
377,2,92,884
378,2,93,916
379,2,94,916
380,2,95,952
381,2,96,952
382,2,97,952
383,2,98,964
384,2,99,980
385,2,100,980
386,2,101,980
387,2,102,984
388,2,103,992
389,2,104,992
390,2,105,1008
391,2,106,1008
392,2,107,1012
393,2,108,1012
394,2,109,1020
395,2,110,1024
396,2,111,1048
397,2,112,1064
398,2,113,1096
399,2,114,1100
400,2,115,1112
401,2,116,1124
402,2,117,1128
403,2,118,1128
404,2,119,1128
405,2,120,1132
406,2,121,1144
407,2,122,1168
408,2,123,1168
409,2,124,1184
410,2,125,1220
411,2,126,1284
412,2,127,1284
413,2,128,1284
414,2,129,1284
415,2,130,1328
416,2,131,1328
417,2,132,1336
418,2,133,1344
419,2,134,1376
420,2,135,1380
421,2,136,1380
422,2,137,1384
423,2,138,1384
424,2,139,1384
425,2,140,1448
426,2,141,1452
427,2,142,1452
428,2,143,1456
429,2,144,1464
430,2,145,1468
431,2,146,1484
432,2,147,1492
433,2,148,1624
434,2,149,1628
435,2,150,1632
436,2,151,1640
437,2,152,1644
438,2,153,1644
439,2,154,1660
440,2,155,1916
441,2,156,1928
442,2,157,1928
443,2,158,1932
444,2,159,1944
445,2,160,1944
446,2,161,1960
447,2,162,1996
448,2,163,2004
449,2,164,2008
450,2,165,2016
451,2,166,2036
452,2,167,2036
453,2,168,2048
454,2,169,2056
455,2,170,2060
456,2,171,2064
457,2,172,2064
458,2,173,2096
459,2,174,2100
460,2,175,2108
461,2,176,2112
462,3,0,0
463,3,1,0
464,3,2,4
465,3,3,12
466,3,4,12
467,3,5,12
468,3,6,16
469,3,7,16
470,3,8,20
471,3,9,32
472,3,10,32
473,3,11,36
474,3,12,36
475,3,13,36
476,3,14,40
477,3,15,48
478,3,16,52
479,3,17,52
480,3,18,52
481,3,19,72
482,3,20,72
483,3,21,80
484,3,22,80
485,3,23,88
486,3,24,96
487,3,25,96
488,3,26,96
489,3,27,100
490,3,28,100
491,3,29,108
492,3,30,120
493,3,31,144
494,3,32,164
495,3,33,164
496,3,34,164
497,3,35,164
498,3,36,164
499,3,37,180
500,3,38,196
501,3,39,232
502,3,40,240
503,3,41,240
504,3,42,244
505,3,43,248
506,3,44,248
507,3,45,256
508,3,46,260
509,3,47,268
510,3,48,268
511,3,49,268
512,3,50,276
513,3,51,284
514,3,52,284
515,3,53,300
516,3,54,304
517,3,55,312
518,3,56,312
519,3,57,316
520,3,58,328
521,3,59,328
522,3,60,328
523,3,61,332
524,4,0,0
525,4,1,0
526,4,2,4
527,4,3,4
528,4,4,4
529,4,5,8
530,4,6,8
531,4,7,8
532,4,8,12
533,4,9,12
534,4,10,24
535,4,11,36
536,4,12,40
537,4,13,40
538,4,14,40
539,4,15,56
540,4,16,60
541,4,17,60
542,4,18,72
543,4,19,72
544,4,20,76
545,4,21,80
546,4,22,88
547,4,23,92
548,4,24,124
549,4,25,124
550,4,26,124
551,4,27,132
552,4,28,132
553,4,29,132
554,4,30,136
555,4,31,136
556,4,32,144
557,4,33,148
558,4,34,168
559,4,35,212
560,4,36,228
561,4,37,228
562,4,38,228
563,4,39,232
564,4,40,236
565,4,41,244
566,4,42,244
567,4,43,244
568,4,44,248
569,4,45,252
570,4,46,268
571,4,47,268
572,4,48,284
573,4,49,316
574,4,50,384
575,4,51,400
576,4,52,400
577,4,53,424
578,4,54,424
579,4,55,432
580,4,56,440
581,4,57,440
582,4,58,444
583,4,59,444
584,4,60,448
585,4,61,448
586,4,62,448
587,4,63,448
588,4,64,448
589,4,65,460
590,4,66,464
591,4,67,464
592,4,68,464
593,4,69,468
594,4,70,496
595,4,71,536
596,4,72,544
597,4,73,544
598,4,74,544
599,4,75,544
600,4,76,548
601,4,77,556
602,4,78,580
603,4,79,580
604,4,80,584
605,4,81,584
606,5,0,0
607,5,1,0
608,5,2,0
609,5,3,4
610,5,4,4
611,5,5,16
612,5,6,16
613,5,7,16
614,5,8,16
615,5,9,16
616,5,10,16
617,5,11,16
618,5,12,20
619,5,13,32
620,5,14,32
621,5,15,36
622,5,16,36
623,5,17,52
624,5,18,60
625,5,19,76
626,5,20,76
627,5,21,80
628,5,22,80
629,5,23,84
630,5,24,92
631,5,25,92
632,5,26,96
633,5,27,104
634,5,28,124
635,5,29,124
636,5,30,128
637,5,31,132
638,5,32,144
639,5,33,152
640,5,34,152
641,5,35,192
642,5,36,232
643,5,37,232
644,5,38,264
645,5,39,268
646,5,40,272
647,5,41,280
648,5,42,300
649,5,43,308
650,5,44,308
651,5,45,312
652,5,46,312
653,5,47,316
654,5,48,316
655,5,49,324
656,5,50,324
657,5,51,324
658,5,52,328
659,5,53,340
660,5,54,348
661,5,55,348
662,5,56,352
663,5,57,356
664,5,58,364
665,5,59,364
666,5,60,364
667,5,61,368
668,5,62,392
669,5,63,392
670,5,64,404
671,5,65,404
672,5,66,404
673,5,67,408
674,5,68,412
675,5,69,476
676,5,70,500
677,5,71,536
678,5,72,556
679,5,73,556
680,5,74,576
681,5,75,576
682,5,76,576
683,5,77,576
684,5,78,600
685,5,79,604
686,5,80,640
687,5,81,704
688,5,82,732
689,5,83,872
690,5,84,876
691,5,85,908
692,5,86,908
693,5,87,908
694,5,88,912
695,5,89,912
696,5,90,920
697,5,91,924
698,5,92,924
699,5,93,928
700,5,94,940
701,5,95,964
702,5,96,984
703,5,97,984
704,5,98,984
705,5,99,1016
706,5,100,1016
707,5,101,1084
708,5,102,1092
709,5,103,1092
710,5,104,1096
711,5,105,1104
712,5,106,1112
713,5,107,1120
714,5,108,1136
715,5,109,1144
716,5,110,1144
717,5,111,1144
718,5,112,1144
719,5,113,1152
720,5,114,1164
721,5,115,1164
722,5,116,1164
723,5,117,1172
724,5,118,1192
725,5,119,1192
726,5,120,1228
727,5,121,1228
728,5,122,1228
729,5,123,1228
730,5,124,1228
731,5,125,1240
732,5,126,1252
733,5,127,1256
734,5,128,1260
735,5,129,1268
736,5,130,1284
737,5,131,1288
738,5,132,1296
739,5,133,1296
740,5,134,1300
741,5,135,1300
742,5,136,1308
743,6,0,0
744,6,1,0
745,6,2,4
746,6,3,4
747,6,4,8
748,6,5,16
749,6,6,16
750,6,7,16
751,6,8,20
752,6,9,28
753,6,10,44
754,6,11,44
755,6,12,52
756,6,13,52
757,6,14,56
758,6,15,64
759,6,16,68
760,6,17,72
761,6,18,72
762,6,19,76
763,6,20,88
764,6,21,88
765,6,22,88
766,6,23,88
767,6,24,96
768,6,25,104
769,6,26,104
770,6,27,108
771,6,28,116
772,6,29,116
773,6,30,116
774,6,31,152
775,6,32,188
776,6,33,200
777,6,34,200
778,6,35,200
779,6,36,200
780,6,37,204
781,6,38,208
782,6,39,208
783,6,40,212
784,6,41,212
785,6,42,212
786,6,43,216
787,6,44,216
788,6,45,228
789,6,46,252
790,6,47,296
791,6,48,304
792,6,49,320
793,6,50,324
794,6,51,324
795,6,52,332
796,6,53,400
797,6,54,404
798,6,55,428
799,6,56,428
800,6,57,428
801,6,58,472
802,6,59,480
803,6,60,504
804,6,61,504
805,6,62,508
806,6,63,508
807,6,64,508
808,6,65,512
809,6,66,512
810,6,67,536
811,6,68,536
812,6,69,548
813,6,70,552
814,6,71,564
815,6,72,576
816,6,73,576
817,6,74,580
818,6,75,596
819,6,76,656
820,6,77,656
821,6,78,656
822,6,79,656
823,6,80,724
824,6,81,864
825,6,82,864
826,6,83,884
827,6,84,884
828,6,85,916
829,6,86,928
830,6,87,936
831,6,88,936
832,6,89,952
833,6,90,956
834,6,91,960
835,6,92,972
836,6,93,972
837,6,94,972
838,6,95,980
839,6,96,980
840,6,97,980
841,6,98,988
842,6,99,988
843,6,100,996
844,6,101,996
845,6,102,1000
846,6,103,1028
847,6,104,1028
848,6,105,1036
849,6,106,1052
