row_index,game_id,move_index,score
0,0,0,4
1,0,1,8
2,0,2,0
3,0,3,20
4,0,4,0
5,0,5,24
6,0,6,4
7,0,7,4
8,1,0,28
9,1,1,72
10,1,2,28
11,1,3,60
12,1,4,28
13,1,5,36
14,1,6,20
15,1,7,72
16,2,0,104
17,2,1,180
18,2,2,68
19,2,3,100
20,2,4,36
21,2,5,68
22,2,6,76
23,2,7,128
24,3,0,200
25,3,1,212
26,3,2,104
27,3,3,108
28,3,4,72
29,3,5,84
30,3,6,212
31,3,7,240
32,4,0,216
33,4,1,240
34,4,2,212
35,4,3,244
36,4,4,108
37,4,5,120
38,4,6,332
39,4,7,404
40,5,0,252
41,5,1,252
42,5,2,272
43,5,3,340
44,5,4,148
45,5,5,180
46,5,6,444
47,5,7,464
48,6,0,288
49,6,1,332
50,6,2,404
51,6,3,404
52,6,4,184
53,6,5,184
54,6,6,492
55,6,7,560
56,7,0,404
57,7,1,416
58,7,2,412
59,7,3,476
60,7,4,184
61,7,5,212
62,7,6,572
63,7,7,600
64,8,0,428
65,8,1,464
66,8,2,540
67,8,3,556
68,8,4,244
69,8,5,268
70,8,6,612
71,8,7,616
72,9,0,464
73,9,1,468
74,9,2,560
75,9,3,580
76,9,4,404
77,9,5,464
78,9,6,752
79,9,7,756
